n_obstacles,run,sa_fit,drstasa_fit,wall_time,sa_time,drstasa_time,critical_time
0,0,11442499.288023,11443485.952185,139.670434,247.399926,57.136864,0.000053
0,1,11442238.554167,11443802.703503,140.423753,248.334533,57.163428,0.000520
0,2,11443048.968407,11443522.387495,140.250122,248.838263,57.571157,0.000060
0,3,11442469.251821,11443444.292175,138.858437,247.765057,56.609791,0.000053
0,4,11442103.839031,11443601.789748,140.234649,249.202225,57.278755,0.000063
4,0,12951514.089345,12498712.669892,155.596918,321.867582,61.928268,0.000055
4,1,12443600.878581,12460832.877412,156.625065,325.366593,62.184416,0.000068
4,2,12444235.833603,12479996.265592,154.952831,317.549864,61.853854,0.000056
4,3,12444906.058016,12502731.979938,129.358457,302.397219,55.153171,0.000085
4,4,1000011485019.614136,12469066.378704,70.302090,145.388685,29.304085,0.000041
7,0,13172139.068488,12847479.121502,77.079461,178.063594,29.101094,0.000042
7,1,12848724.409057,12849802.023059,68.882412,147.390536,27.567284,0.000028
7,2,13316631.482942,12859683.906584,67.998485,152.639705,27.105653,0.000027
7,3,12828936.733494,12850988.190013,67.047856,143.850541,27.198248,0.000029
7,4,13983657.793298,12845961.124885,67.390012,161.567204,26.408420,0.000031
11,0,14627415.397692,14052053.008651,87.319404,172.388554,28.023392,0.000029
11,1,14432169.904547,14057866.712090,87.097288,189.850187,28.302130,0.000031
11,2,14012764.409180,14041007.048320,80.666889,168.252418,28.312657,0.000028
11,3,14685547.461400,14030021.663184,94.087986,174.922020,27.629325,0.000035
11,4,14367048.435981,14046815.121337,92.565542,176.736818,27.898516,0.000027
15,0,1000014275929.326416,14196371.159955,96.457428,194.721371,29.549961,0.000033
15,1,1000017125209.297729,14169811.196841,97.661525,187.678458,29.748200,0.000036
15,2,2000012619384.643555,14174459.880745,91.556933,182.252999,29.233314,0.000031
15,3,4000012711786.486328,14186388.654085,88.109385,178.304303,29.188808,0.000033
15,4,2000012857737.140625,14213311.745042,94.812213,182.730870,28.893003,0.000027
18,0,2000015878767.520996,14491418.856605,94.774991,178.770049,29.969165,0.000032
18,1,5000012149034.422852,14481741.479483,93.408176,182.147630,30.157257,0.000028
18,2,2000015788162.034180,14445576.830587,97.721586,181.591681,29.766798,0.000037
18,3,3000012526590.517578,14533975.751391,104.060221,204.238067,30.430428,0.000028
18,4,3000012349049.854980,14536256.734133,92.069953,193.327466,30.487579,0.000025
22,0,3000014868195.220215,14523918.530182,102.150571,196.473456,31.826209,0.000027
22,1,3000011261756.580078,14421569.389391,95.912910,193.989866,32.793724,0.000030
22,2,2000014171644.931641,14513780.038114,95.584995,186.988927,31.556729,0.000032
22,3,3000011527572.897461,14534881.863669,98.773990,186.488293,31.899754,0.000052
22,4,4000014935822.334473,14501519.175414,94.356127,179.434331,31.658504,0.000025
