threads,run,sa_fit,drstasa_fit,wall_time,sa_time,drstasa_time,critical_time
1,0,4000014318874.069824,14638705.307987,250.787103,216.106173,33.826619,0.000027
1,1,2000012470319.130127,14566404.225492,242.975390,208.209982,34.021173,0.000039
1,2,4000010363603.172363,14545971.273746,253.993701,219.261185,33.985992,0.000026
1,3,4000011761429.508789,14493816.259694,243.480800,208.195411,34.550064,0.000024
1,4,2000011956431.752930,14449504.523684,243.359053,207.863076,34.735509,0.000028
2,0,3000011423991.447266,14497228.025573,143.686374,236.078055,35.969562,0.000035
2,1,4000014249268.867188,14492688.027785,131.294396,203.160234,35.784566,0.000028
2,2,2000012893885.897461,14513250.450050,137.883523,213.344181,36.304428,0.000040
2,3,4000010593482.916016,14591154.858773,131.684862,207.254142,36.031292,0.000026
2,4,2000013855553.759521,14561207.704970,137.752491,217.914804,36.107532,0.000032
3,0,4000013569123.184570,14543150.731816,141.739361,233.933761,40.593975,0.000098
3,1,5000011563198.928711,14457892.998835,250.238028,471.742454,76.634465,0.000057
3,2,2000013133109.585205,14512166.067120,249.713952,462.731968,75.990678,0.000060
3,3,3000014788095.922852,14536878.393366,243.918796,441.224452,75.794581,0.000054
3,4,4000015175909.880859,14464415.903643,227.622150,441.485298,72.005628,0.000051
4,0,2000012491381.675781,14439864.646313,263.597600,475.098595,75.493108,0.000054
4,1,1000017110011.823120,14485662.004377,230.965970,437.285610,74.717138,0.000052
4,2,3000010999407.474609,14476990.467961,220.335101,377.964165,65.000646,0.000058
4,3,2000015348671.019775,14394587.143776,258.553538,491.909774,76.109926,0.000052
4,4,4000010304418.906250,14543737.449432,239.167035,466.668852,79.260649,0.000069
